Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,PRICE_DATE,PRICE_TYPE,BASE_CURRENCY,PRICE_CURRENCY,FX_RATE
,,,,,,,,,2023-09-13 00:00:00.000,Fixing 16h,EUR,CHF,0.9587
,,,,,,,,,2023-09-12 00:00:00.000,Fixing 16h,EUR,CHF,0.95645
,,,,,,,,,2023-09-11 00:00:00.000,Fixing 16h,EUR,CHF,0.95795
,,,,,,,,,2023-09-08 00:00:00.000,Fixing 16h,EUR,CHF,0.95555
,,,,,,,,,2023-09-07 00:00:00.000,Fixing 16h,EUR,CHF,0.95585
,,,,,,,,,2023-09-06 00:00:00.000,Fixing 16h,EUR,CHF,0.95625
,,,,,,,,,2023-09-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9522
,,,,,,,,,2023-09-04 00:00:00.000,Fixing 16h,EUR,CHF,0.9545
,,,,,,,,,2023-09-01 00:00:00.000,Fixing 16h,EUR,CHF,0.95555
,,,,,,,,,2023-08-31 00:00:00.000,Fixing 16h,EUR,CHF,0.9586
,,,,,,,,,2023-08-30 00:00:00.000,Fixing 16h,EUR,CHF,0.9582
